name,category_id,remains,rating,description,price
Asics Disruptor,4,194,3.06,"Asics Disruptor sneakers, designed for running performance and style.",267.75
Adidas Triple S,5,34,3.73,"Adidas Triple S sneakers, designed for tennis performance and style.",498.01
Asics Air Max,2,45,4.21,"Asics Air Max sneakers, designed for lifestyle performance and style.",265.21
Asics RS-Dreamer,6,47,3.37,"Asics RS-Dreamer sneakers, designed for other performance and style.",229.57
Puma Air Max,3,199,3.75,"Puma Air Max sneakers, designed for fashion performance and style.",179.46
MSCHF 990v5,6,150,3.81,"MSCHF 990v5 sneakers, designed for other performance and style.",222.48
Puma Classic Leather,3,2,4.07,"Puma Classic Leather sneakers, designed for fashion performance and style.",251.52
Adidas Gel-Lyte,6,61,3.18,"Adidas Gel-Lyte sneakers, designed for other performance and style.",344.15
Fila Yeezy Boost,4,145,4.74,"Fila Yeezy Boost sneakers, designed for running performance and style.",404.04
Nike Retro 1,5,178,3.59,"Nike Retro 1 sneakers, designed for tennis performance and style.",102.57
Dior RS-Dreamer,5,13,4.14,"Dior RS-Dreamer sneakers, designed for tennis performance and style.",374.67
Asics React Infinity,3,136,3.32,"Asics React Infinity sneakers, designed for fashion performance and style.",65.41
Jordan Gel-Lyte,1,77,3.72,"Jordan Gel-Lyte sneakers, designed for basketball performance and style.",451.04
Jordan Speedrunner,4,20,4.06,"Jordan Speedrunner sneakers, designed for running performance and style.",325.84
Adidas RS-Dreamer,5,153,4.09,"Adidas RS-Dreamer sneakers, designed for tennis performance and style.",150.88
Lanvin Dunk,3,160,4.2,"Lanvin Dunk sneakers, designed for fashion performance and style.",494.81
Dior RS-Dreamer,5,123,4.32,"Dior RS-Dreamer sneakers, designed for tennis performance and style.",188.39
Lanvin Powerframe,3,1,4.9,"Lanvin Powerframe sneakers, designed for fashion performance and style.",402.4
Nike Dunk,3,80,4.23,"Nike Dunk sneakers, designed for fashion performance and style.",85.45
New Balance Air Max,5,188,4.1,"New Balance Air Max sneakers, designed for tennis performance and style.",341.13
Converse RS-X,4,57,3.83,"Converse RS-X sneakers, designed for running performance and style.",239.18
New Balance Zoom Pegasus,3,182,4.83,"New Balance Zoom Pegasus sneakers, designed for fashion performance and style.",195.12
Puma React Infinity,2,128,3.72,"Puma React Infinity sneakers, designed for lifestyle performance and style.",102.78
Asics Dunk,5,106,4.35,"Asics Dunk sneakers, designed for tennis performance and style.",379.65
Asics Gel-Lyte,2,85,4.21,"Asics Gel-Lyte sneakers, designed for lifestyle performance and style.",396.88
Yeezy 990v5,1,53,4.2,"Yeezy 990v5 sneakers, designed for basketball performance and style.",354.38
Yeezy Classic Leather,5,140,4.73,"Yeezy Classic Leather sneakers, designed for tennis performance and style.",326.37
Fila Zoom Pegasus,3,41,3.55,"Fila Zoom Pegasus sneakers, designed for fashion performance and style.",246.45
Converse Zoom Pegasus,5,14,4.35,"Converse Zoom Pegasus sneakers, designed for tennis performance and style.",353.41
New Balance Triple S,2,153,4.05,"New Balance Triple S sneakers, designed for lifestyle performance and style.",313.12
